,feature01,feature04,feature07,feature08,feature09,feature10,feature14,feature17,feature22,feature23,feature11,feature12,feature13,feature15,feature16,feature10.1,feature21,target
891,3.0,1698.0,1698.0,9.0,5.0,2007.0,1.0,3.0,0.0,2008.0,NA,NA,red,good,amazing,0,0.0,320000.0
923,2.0,876.0,964.0,5.0,7.0,1921.0,0.0,2.0,0.0,2006.0,Grvl,NA,red,NA,bad,1,0.0,163500.0
1972,1.0,896.0,936.0,5.0,5.0,1962.0,1.0,3.0,0.0,1962.0,NA,NA,red,bad,bad,1,0.0,130000.0
2033,0.0,684.0,1355.0,6.0,7.0,1914.0,0.0,3.0,582.0,2006.0,NA,NA,red,NA,good,1,1.0,127000.0
1163,2.0,689.0,1392.0,7.0,5.0,2007.0,0.0,2.0,689.0,2007.0,Pave,NA,red,NA,good,0,0.0,146000.0
166,2.0,1175.0,1175.0,5.0,6.0,1960.0,0.0,3.0,0.0,1960.0,NA,NA,red,NA,bad,1,1.0,148000.0
2767,2.0,1388.0,1388.0,6.0,5.0,1968.0,1.0,3.0,0.0,1968.0,NA,NA,red,bad,bad,0,0.0,158900.0
2001,2.0,718.0,2554.0,7.0,8.0,1890.0,0.0,3.0,978.0,1998.0,Grvl,NA,red,NA,bad,1,1.0,159500.0
1570,2.0,1499.0,1786.0,5.0,6.0,1965.0,2.0,3.0,167.0,1965.0,NA,NA,red,good,bad,0,0.0,228950.0
1519,1.0,1228.0,1424.0,7.0,8.0,1921.0,1.0,2.0,0.0,1950.0,NA,NA,red,good,bad,0,0.0,168000.0
236,1.0,663.0,1074.0,6.0,7.0,1950.0,1.0,3.0,0.0,1987.0,NA,dog,red,bad,good,1,0.0,144500.0
537,3.0,1512.0,1512.0,8.0,5.0,2004.0,0.0,3.0,0.0,2004.0,NA,NA,red,NA,good,0,0.0,203000.0
2620,0.0,720.0,1192.0,4.0,4.0,1949.0,0.0,4.0,472.0,1950.0,NA,NA,blue,NA,bad,1,1.0,135000.0
1623,2.0,691.0,1553.0,7.0,5.0,1996.0,0.0,3.0,862.0,1996.0,NA,NA,red,NA,good,0,1.0,178750.0
2559,1.0,1444.0,1624.0,5.0,6.0,1952.0,1.0,2.0,0.0,1952.0,NA,dog,red,good,bad,1,0.0,146500.0
818,3.0,1555.0,1680.0,9.0,5.0,2009.0,1.0,1.0,0.0,2009.0,NA,NA,red,good,amazing,1,1.0,323262.0
549,2.0,754.0,1540.0,7.0,5.0,1994.0,0.0,3.0,786.0,1994.0,NA,NA,red,NA,good,0,1.0,184000.0
103,2.0,530.0,1080.0,7.0,5.0,2003.0,0.0,2.0,550.0,2003.0,NA,NA,red,NA,good,0,1.0,147110.0
2303,0.0,974.0,974.0,5.0,5.0,1991.0,0.0,3.0,0.0,1992.0,NA,dog,red,NA,bad,1,0.0,93500.0
842,2.0,866.0,1779.0,7.0,5.0,1998.0,0.0,3.0,913.0,1998.0,NA,NA,red,NA,good,0,1.0,197900.0
1135,2.0,1114.0,1114.0,5.0,5.0,2004.0,0.0,3.0,0.0,2004.0,NA,NA,red,NA,good,1,1.0,159000.0
1007,2.0,836.0,1709.0,6.0,5.0,1991.0,0.0,3.0,858.0,1991.0,NA,cat,red,NA,good,0,1.0,185000.0
2306,1.0,1008.0,1024.0,6.0,6.0,1956.0,2.0,2.0,0.0,1956.0,NA,NA,red,bad,good,1,0.0,157500.0
1633,2.0,1166.0,1179.0,8.0,5.0,1988.0,0.0,2.0,0.0,1988.0,NA,NA,red,NA,bad,0,0.0,182000.0
102,2.0,696.0,1416.0,7.0,5.0,1999.0,0.0,3.0,720.0,1999.0,NA,NA,red,NA,good,0,1.0,155000.0
2320,3.0,1700.0,2212.0,7.0,5.0,2005.0,1.0,3.0,512.0,2006.0,NA,NA,red,good,good,0,1.0,309000.0
2428,3.0,1520.0,1567.0,8.0,5.0,2006.0,1.0,1.0,0.0,2006.0,NA,NA,red,good,amazing,0,0.0,264561.0
1845,2.0,756.0,1573.0,6.0,5.0,2000.0,0.0,3.0,804.0,2000.0,NA,NA,red,NA,good,0,1.0,177000.0
743,1.0,715.0,875.0,5.0,7.0,1931.0,0.0,2.0,0.0,1993.0,NA,NA,blue,NA,bad,1,0.0,105000.0
1491,0.0,996.0,996.0,5.0,6.0,1940.0,1.0,3.0,0.0,1969.0,NA,NA,red,good,bad,1,0.0,108000.0
2675,2.0,816.0,1176.0,6.0,6.0,1934.0,1.0,3.0,0.0,1950.0,NA,dog,red,good,bad,1,0.0,114500.0
1065,3.0,998.0,2046.0,7.0,5.0,2003.0,1.0,3.0,1040.0,2004.0,NA,NA,red,good,good,0,1.0,284000.0
1185,2.0,1304.0,1682.0,7.0,6.0,1970.0,1.0,3.0,0.0,1970.0,NA,dog,red,good,bad,0,0.0,174000.0
558,1.0,1024.0,1020.0,5.0,5.0,1965.0,0.0,3.0,0.0,1965.0,NA,dog,red,NA,bad,0,0.0,124100.0
1949,1.0,656.0,968.0,4.0,6.0,1927.0,0.0,4.0,0.0,2007.0,Grvl,NA,red,NA,bad,0,0.0,64500.0
950,1.0,902.0,926.0,6.0,6.0,1977.0,1.0,2.0,0.0,1977.0,NA,dog,red,bad,bad,1,0.0,156450.0
2300,2.0,1090.0,1178.0,5.0,6.0,1976.0,0.0,3.0,0.0,2003.0,NA,dog,red,NA,bad,1,1.0,135000.0
770,2.0,918.0,1683.0,6.0,5.0,1978.0,1.0,3.0,765.0,1978.0,NA,NA,red,bad,bad,0,1.0,172500.0
1480,2.0,728.0,1456.0,7.0,5.0,2005.0,1.0,3.0,728.0,2005.0,NA,NA,red,good,good,0,1.0,189000.0
486,2.0,384.0,1374.0,7.0,5.0,2004.0,0.0,3.0,630.0,2004.0,NA,NA,red,NA,good,0,1.0,167000.0
2394,3.0,1524.0,2358.0,8.0,5.0,2005.0,1.0,4.0,814.0,2006.0,NA,NA,red,good,amazing,0,1.0,329900.0
966,2.0,912.0,2014.0,7.0,5.0,2003.0,0.0,3.0,942.0,2003.0,NA,NA,red,NA,good,0,1.0,170000.0
91,3.0,1231.0,2349.0,8.0,5.0,1993.0,1.0,4.0,1098.0,1993.0,NA,NA,red,bad,good,0,1.0,362500.0
1168,2.0,1310.0,1310.0,9.0,5.0,2001.0,1.0,1.0,0.0,2001.0,NA,NA,red,bad,good,1,1.0,285000.0
2415,2.0,1326.0,1326.0,6.0,5.0,2006.0,0.0,3.0,0.0,2006.0,NA,NA,red,NA,good,0,0.0,174190.0
2909,1.0,757.0,1475.0,5.0,6.0,1977.0,1.0,4.0,550.0,1977.0,NA,NA,red,bad,bad,0,0.0,127000.0
1071,2.0,1367.0,1367.0,7.0,5.0,2005.0,1.0,2.0,0.0,2005.0,NA,NA,red,good,good,0,0.0,192000.0
2693,1.0,780.0,1376.0,6.0,6.0,1937.0,1.0,3.0,596.0,1950.0,NA,NA,red,good,bad,0,0.0,119500.0
2460,2.0,1278.0,1278.0,8.0,5.0,2006.0,0.0,2.0,0.0,2006.0,NA,NA,red,NA,good,0,0.0,198600.0
482,2.0,1314.0,1314.0,7.0,5.0,2007.0,1.0,2.0,0.0,2008.0,NA,NA,red,good,good,0,0.0,207500.0
2376,1.0,1055.0,1055.0,7.0,7.0,1976.0,0.0,2.0,0.0,1976.0,NA,NA,red,NA,bad,0,0.0,137500.0
778,2.0,1138.0,1138.0,6.0,5.0,1960.0,1.0,3.0,0.0,1960.0,NA,dog,red,bad,bad,1,0.0,148000.0
2485,2.0,988.0,988.0,5.0,4.0,1962.0,0.0,3.0,0.0,1962.0,NA,NA,red,NA,bad,1,0.0,129500.0
2556,2.0,600.0,747.0,4.0,5.0,1926.0,0.0,1.0,0.0,1953.0,NA,NA,red,NA,bad,1,0.0,79900.0
590,2.0,1350.0,1334.0,6.0,5.0,1977.0,1.0,2.0,0.0,1977.0,NA,NA,red,bad,bad,0,0.0,167900.0
2028,1.0,592.0,1173.0,5.0,4.0,1901.0,0.0,3.0,240.0,1950.0,Grvl,dog,blue,NA,bad,0,0.0,113000.0
2381,3.0,1618.0,1618.0,8.0,5.0,2004.0,1.0,2.0,0.0,2004.0,NA,NA,red,good,good,0,0.0,252000.0
824,2.0,1838.0,1838.0,8.0,5.0,2007.0,2.0,3.0,0.0,2008.0,NA,NA,red,good,good,0,0.0,272500.0
1639,2.0,1612.0,1612.0,9.0,5.0,2006.0,1.0,2.0,0.0,2006.0,NA,NA,red,good,amazing,0,0.0,319900.0
92,3.0,1390.0,2225.0,8.0,5.0,1992.0,1.0,4.0,823.0,1993.0,NA,NA,red,bad,good,0,1.0,285000.0
1262,2.0,1312.0,1312.0,7.0,7.0,1958.0,1.0,3.0,0.0,2001.0,NA,dog,red,good,bad,1,1.0,186000.0
1358,1.0,796.0,1609.0,6.0,8.0,1910.0,0.0,3.0,784.0,1950.0,NA,NA,red,NA,bad,1,0.0,127500.0
10,2.0,763.0,1655.0,6.0,5.0,1993.0,1.0,3.0,892.0,1994.0,NA,NA,red,bad,bad,0,1.0,175900.0
2067,1.0,680.0,1302.0,7.0,8.0,1940.0,2.0,2.0,504.0,1998.0,NA,dog,blue,good,good,1,1.0,165250.0
954,2.0,1582.0,1595.0,5.0,5.0,1991.0,0.0,2.0,0.0,1991.0,NA,NA,red,NA,bad,0,0.0,152000.0
2092,2.0,1502.0,2730.0,7.0,5.0,1986.0,1.0,4.0,1177.0,1987.0,NA,dog,red,bad,good,0,1.0,301000.0
2899,3.0,1800.0,1800.0,8.0,5.0,2002.0,1.0,3.0,0.0,2002.0,NA,NA,red,good,good,0,0.0,312500.0
416,2.0,855.0,1456.0,6.0,5.0,1978.0,1.0,3.0,601.0,1978.0,NA,NA,red,bad,bad,0,1.0,138000.0
2844,1.0,616.0,1273.0,4.0,7.0,1910.0,0.0,3.0,218.0,1993.0,NA,NA,red,NA,good,1,0.0,121000.0
1606,1.0,845.0,845.0,5.0,6.0,1982.0,0.0,3.0,0.0,2005.0,NA,NA,red,NA,good,1,0.0,134500.0
2494,1.0,935.0,935.0,5.0,6.0,1965.0,0.0,3.0,0.0,1965.0,NA,dog,red,NA,bad,1,0.0,137000.0
2582,1.0,1050.0,1050.0,6.0,8.0,1954.0,0.0,3.0,0.0,2000.0,NA,NA,red,NA,good,1,0.0,156000.0
40,2.0,1541.0,1541.0,7.0,5.0,2005.0,1.0,3.0,0.0,2005.0,NA,NA,red,good,good,0,0.0,220000.0
1458,2.0,1153.0,2031.0,7.0,5.0,1998.0,1.0,3.0,878.0,1999.0,NA,NA,red,bad,good,0,1.0,222500.0
2301,1.0,816.0,816.0,5.0,7.0,1982.0,0.0,2.0,0.0,1982.0,NA,NA,red,NA,bad,1,0.0,124500.0
2095,2.0,779.0,1958.0,7.0,5.0,1994.0,1.0,3.0,929.0,2001.0,NA,NA,red,bad,good,0,1.0,220000.0
2490,1.0,984.0,984.0,5.0,5.0,1965.0,0.0,3.0,0.0,1965.0,NA,dog,red,NA,bad,1,0.0,126000.0
1100,3.0,1145.0,2198.0,8.0,5.0,2000.0,1.0,4.0,1053.0,2000.0,NA,NA,red,bad,good,0,1.0,250000.0
399,2.0,864.0,864.0,4.0,7.0,1970.0,0.0,3.0,0.0,1970.0,NA,NA,red,NA,bad,1,0.0,124500.0
480,2.0,782.0,1489.0,7.0,5.0,2003.0,1.0,3.0,683.0,2003.0,NA,NA,red,good,good,0,1.0,192000.0
1860,2.0,2461.0,2497.0,8.0,5.0,1981.0,2.0,2.0,0.0,1981.0,NA,NA,red,good,good,0,0.0,373000.0
1859,2.0,1262.0,1262.0,6.0,8.0,1976.0,1.0,3.0,0.0,1976.0,NA,NA,red,bad,bad,0,0.0,181500.0
2594,1.0,617.0,1310.0,6.0,6.0,1924.0,0.0,2.0,445.0,1950.0,NA,NA,red,NA,bad,0,0.0,112000.0
831,2.0,704.0,1422.0,6.0,5.0,2005.0,1.0,3.0,718.0,2006.0,NA,NA,red,good,good,0,1.0,173000.0
2247,2.0,1001.0,1299.0,6.0,6.0,1979.0,1.0,2.0,0.0,1979.0,NA,dog,red,bad,good,0,0.0,183500.0
758,1.0,1204.0,1666.0,6.0,6.0,1927.0,0.0,3.0,462.0,1950.0,NA,NA,blue,NA,bad,1,0.0,135000.0
1346,2.0,1100.0,1902.0,5.0,5.0,1923.0,0.0,4.0,676.0,1950.0,NA,NA,red,NA,bad,0,0.0,123500.0
915,2.0,896.0,1913.0,6.0,6.0,1928.0,1.0,3.0,741.0,1950.0,NA,NA,red,bad,bad,1,1.0,177000.0
2426,2.0,1142.0,1142.0,7.0,5.0,2005.0,0.0,2.0,0.0,2006.0,NA,NA,red,NA,good,0,0.0,156820.0
224,1.0,864.0,864.0,5.0,5.0,1968.0,0.0,2.0,0.0,1968.0,NA,NA,red,NA,bad,1,0.0,137250.0
144,2.0,1188.0,1188.0,5.0,5.0,1959.0,0.0,3.0,0.0,1959.0,NA,dog,red,NA,bad,1,0.0,142000.0
538,2.0,1176.0,1200.0,7.0,5.0,2003.0,0.0,2.0,0.0,2003.0,NA,NA,red,NA,good,0,0.0,184900.0
1714,3.0,1298.0,1828.0,8.0,5.0,2006.0,0.0,3.0,530.0,2007.0,NA,NA,red,NA,good,0,1.0,250000.0
913,1.0,976.0,1608.0,6.0,6.0,1925.0,1.0,3.0,448.0,1990.0,NA,dog,red,good,good,0,1.0,137450.0
1094,2.0,788.0,1490.0,7.0,5.0,2004.0,1.0,3.0,702.0,2005.0,NA,NA,red,good,good,0,1.0,184000.0
936,2.0,572.0,1982.0,6.0,6.0,1986.0,1.0,3.0,800.0,1986.0,NA,NA,red,bad,bad,0,1.0,208000.0
2706,2.0,0.0,1296.0,4.0,5.0,1967.0,0.0,2.0,0.0,1967.0,NA,NA,red,NA,bad,0,0.0,90000.0
2425,2.0,1248.0,1248.0,7.0,5.0,2005.0,0.0,2.0,0.0,2006.0,NA,NA,red,NA,good,0,0.0,167240.0
452,2.0,1306.0,1306.0,6.0,5.0,2005.0,1.0,1.0,0.0,2005.0,NA,NA,red,good,good,0,0.0,196000.0
682,1.0,732.0,732.0,5.0,7.0,1952.0,0.0,2.0,0.0,1952.0,NA,NA,red,NA,bad,1,0.0,118900.0
1526,2.0,676.0,1264.0,6.0,6.0,1914.0,0.0,3.0,588.0,1995.0,NA,NA,red,NA,bad,1,0.0,147500.0
873,2.0,1057.0,2034.0,7.0,5.0,1997.0,0.0,3.0,977.0,1998.0,NA,cat,red,NA,good,0,1.0,219500.0
1317,0.0,742.0,1484.0,6.0,6.0,1914.0,1.0,3.0,742.0,2001.0,Grvl,NA,red,good,bad,0,0.0,128000.0
2090,2.0,910.0,1442.0,7.0,5.0,1990.0,1.0,3.0,0.0,1991.0,NA,NA,red,bad,good,0,0.0,179900.0
2089,2.0,1105.0,1822.0,6.0,5.0,1984.0,1.0,4.0,717.0,1984.0,NA,NA,red,bad,good,0,0.0,228500.0
1070,3.0,1702.0,1702.0,9.0,5.0,2008.0,1.0,1.0,0.0,2008.0,NA,NA,red,good,amazing,1,1.0,367294.0
2261,2.0,1476.0,1484.0,8.0,5.0,2006.0,1.0,2.0,0.0,2006.0,NA,NA,red,good,amazing,0,0.0,265900.0
2437,2.0,982.0,1889.0,6.0,5.0,2000.0,1.0,3.0,881.0,2000.0,NA,NA,red,bad,bad,0,1.0,215000.0
2495,0.0,912.0,912.0,5.0,6.0,1964.0,0.0,3.0,0.0,1964.0,NA,cow,red,NA,bad,1,0.0,124000.0
1401,2.0,1385.0,1363.0,7.0,7.0,1954.0,2.0,2.0,0.0,2005.0,NA,NA,red,bad,bad,1,0.0,241500.0
995,2.0,943.0,1638.0,6.0,5.0,1998.0,2.0,3.0,695.0,1998.0,NA,NA,red,bad,bad,0,1.0,192000.0
695,1.0,676.0,1131.0,5.0,6.0,1941.0,0.0,3.0,455.0,1950.0,NA,NA,red,NA,bad,1,1.0,66500.0
1684,3.0,1790.0,1816.0,9.0,5.0,2006.0,1.0,3.0,0.0,2007.0,NA,NA,red,good,amazing,0,0.0,356000.0
917,1.0,600.0,1228.0,7.0,8.0,1918.0,1.0,3.0,600.0,1990.0,NA,dog,red,good,bad,1,0.0,137000.0
1572,2.0,1565.0,2898.0,8.0,6.0,1976.0,1.0,2.0,0.0,1976.0,NA,NA,red,good,good,0,0.0,287000.0
535,0.0,1158.0,1158.0,6.0,5.0,2004.0,0.0,3.0,0.0,2004.0,NA,NA,red,NA,good,1,1.0,143500.0
2,1.0,1329.0,1329.0,6.0,6.0,1958.0,0.0,3.0,0.0,1958.0,NA,NA,red,NA,good,1,1.0,172000.0
2917,1.0,546.0,1092.0,4.0,5.0,1970.0,0.0,3.0,546.0,1970.0,NA,NA,red,NA,bad,1,1.0,87550.0
245,2.0,1433.0,1433.0,7.0,5.0,1987.0,2.0,1.0,0.0,1987.0,NA,dog,red,bad,good,1,1.0,270000.0
1259,0.0,0.0,1294.0,4.0,7.0,1900.0,0.0,3.0,600.0,2000.0,Grvl,NA,blue,NA,bad,0,0.0,106250.0
243,1.0,0.0,930.0,4.0,7.0,1946.0,0.0,2.0,0.0,2006.0,NA,NA,red,NA,good,1,0.0,84900.0
471,2.0,1346.0,1504.0,7.0,5.0,2005.0,1.0,1.0,0.0,2006.0,NA,NA,red,good,good,0,0.0,181000.0
255,2.0,1010.0,1052.0,6.0,7.0,1971.0,0.0,3.0,0.0,1971.0,NA,dog,red,NA,bad,1,0.0,155000.0
2385,3.0,1833.0,1850.0,9.0,5.0,2004.0,1.0,3.0,0.0,2005.0,NA,NA,red,good,good,0,0.0,326000.0
470,2.0,1373.0,1555.0,7.0,5.0,2005.0,1.0,2.0,0.0,2006.0,NA,NA,red,bad,good,0,0.0,192500.0
1040,1.0,483.0,987.0,6.0,5.0,1973.0,0.0,2.0,504.0,1973.0,NA,NA,red,NA,bad,1,1.0,100000.0
1800,3.0,1656.0,1656.0,8.0,5.0,2006.0,0.0,3.0,0.0,2006.0,NA,NA,red,NA,good,0,0.0,249700.0
2726,2.0,1000.0,1000.0,5.0,6.0,1963.0,2.0,1.0,0.0,1963.0,NA,NA,red,bad,bad,1,0.0,164000.0
2514,1.0,569.0,1694.0,7.0,5.0,1997.0,1.0,3.0,840.0,1998.0,Pave,cat,red,bad,good,0,1.0,200000.0
379,2.0,2524.0,2524.0,8.0,5.0,1981.0,1.0,4.0,0.0,1981.0,NA,dog,red,good,good,0,1.0,278000.0
407,1.0,630.0,1302.0,5.0,7.0,1972.0,0.0,3.0,672.0,1972.0,NA,NA,red,NA,bad,0,1.0,119500.0
1475,2.0,1436.0,1436.0,7.0,5.0,2004.0,0.0,3.0,0.0,2004.0,NA,NA,red,NA,good,0,0.0,210000.0
366,3.0,2216.0,2234.0,9.0,5.0,2008.0,1.0,1.0,0.0,2009.0,NA,NA,red,good,amazing,0,0.0,501837.0
1754,2.0,854.0,1995.0,7.0,5.0,2002.0,1.0,4.0,1131.0,2002.0,NA,NA,red,good,good,0,1.0,219500.0
1344,2.0,1078.0,1573.0,5.0,7.0,1930.0,1.0,3.0,445.0,1992.0,NA,NA,red,good,bad,0,0.0,162900.0
1590,0.0,1092.0,1092.0,5.0,5.0,2007.0,0.0,2.0,0.0,2008.0,NA,NA,red,NA,bad,1,0.0,146000.0
1680,2.0,1078.0,958.0,6.0,5.0,1976.0,1.0,2.0,0.0,1976.0,NA,NA,red,bad,bad,0,0.0,128000.0
52,2.0,1145.0,1145.0,7.0,5.0,2006.0,0.0,2.0,0.0,2006.0,NA,NA,red,NA,good,0,0.0,160000.0
1544,1.0,894.0,919.0,6.0,8.0,1926.0,0.0,2.0,0.0,1998.0,NA,dog,red,NA,bad,1,0.0,126000.0
987,2.0,1567.0,1567.0,6.0,5.0,1977.0,2.0,2.0,0.0,1977.0,NA,NA,red,bad,good,0,0.0,196000.0
904,2.0,984.0,1604.0,5.0,5.0,1941.0,0.0,3.0,620.0,1960.0,Grvl,NA,red,NA,bad,0,0.0,117000.0
2605,2.0,796.0,1466.0,5.0,8.0,1936.0,1.0,3.0,370.0,1989.0,Grvl,NA,red,bad,good,0,0.0,170000.0
2106,3.0,1240.0,1240.0,7.0,5.0,2006.0,0.0,2.0,0.0,2006.0,NA,NA,red,NA,good,0,0.0,194000.0
2611,1.0,912.0,912.0,5.0,5.0,1964.0,0.0,2.0,0.0,1964.0,NA,NA,red,NA,bad,1,0.0,115000.0
2779,2.0,936.0,1776.0,7.0,5.0,2002.0,1.0,3.0,840.0,2002.0,NA,NA,red,bad,good,0,1.0,192500.0
2546,2.0,1008.0,1488.0,6.0,6.0,1964.0,1.0,3.0,0.0,1964.0,NA,NA,red,good,bad,1,1.0,167000.0
1241,1.0,1196.0,1196.0,6.0,5.0,1956.0,1.0,2.0,0.0,1956.0,NA,NA,blue,good,bad,1,0.0,139000.0
1915,2.0,1021.0,2380.0,6.0,5.0,1965.0,1.0,3.0,915.0,1979.0,NA,NA,red,bad,bad,0,1.0,129000.0
2441,2.0,975.0,2291.0,7.0,5.0,1999.0,1.0,4.0,1286.0,1999.0,NA,NA,red,bad,good,0,1.0,230000.0
1891,2.0,1042.0,1042.0,6.0,5.0,1965.0,0.0,3.0,0.0,1965.0,NA,cat,red,NA,bad,0,0.0,161000.0
1097,2.0,831.0,1651.0,7.0,5.0,1999.0,1.0,3.0,778.0,1999.0,NA,NA,red,bad,bad,0,1.0,185900.0
2258,2.0,585.0,2279.0,6.0,8.0,1958.0,1.0,4.0,0.0,1995.0,NA,cat,red,good,good,0,1.0,257000.0
2210,3.0,1001.0,2002.0,5.0,6.0,1949.0,0.0,4.0,1001.0,1950.0,NA,NA,blue,NA,bad,0,0.0,145000.0
686,2.0,864.0,1495.0,6.0,7.0,1948.0,0.0,3.0,0.0,1994.0,NA,NA,red,NA,bad,1,0.0,135000.0
1756,2.0,384.0,1430.0,7.0,5.0,2000.0,1.0,3.0,656.0,2000.0,NA,NA,red,bad,bad,0,1.0,170000.0
118,2.0,1328.0,1328.0,6.0,5.0,1963.0,2.0,3.0,0.0,1963.0,NA,NA,red,good,bad,1,1.0,143000.0
2754,3.0,1614.0,1614.0,7.0,5.0,2005.0,0.0,3.0,0.0,2006.0,NA,NA,red,NA,good,0,0.0,221500.0
87,1.0,1040.0,1040.0,5.0,5.0,1963.0,0.0,3.0,0.0,1963.0,NA,dog,red,NA,bad,1,1.0,133000.0
972,2.0,1224.0,1224.0,6.0,5.0,1999.0,0.0,2.0,0.0,1999.0,NA,NA,red,NA,bad,0,0.0,165000.0
556,2.0,864.0,864.0,5.0,6.0,1961.0,0.0,3.0,0.0,1961.0,NA,NA,red,NA,bad,1,0.0,141000.0
370,2.0,845.0,2353.0,7.0,7.0,1980.0,1.0,4.0,1200.0,1980.0,NA,cat,red,bad,amazing,0,1.0,260000.0
2537,1.0,1051.0,1051.0,5.0,5.0,1966.0,0.0,3.0,0.0,1966.0,NA,NA,red,NA,bad,1,0.0,124400.0
1643,2.0,1440.0,1440.0,6.0,7.0,1981.0,1.0,3.0,0.0,1981.0,NA,NA,red,bad,good,0,0.0,182900.0
2805,2.0,1390.0,1390.0,7.0,5.0,2003.0,0.0,3.0,0.0,2003.0,NA,NA,red,NA,good,0,0.0,207000.0
1021,2.0,1782.0,1782.0,7.0,5.0,1979.0,1.0,3.0,0.0,1979.0,NA,NA,red,bad,good,0,0.0,220000.0
564,2.0,975.0,1755.0,7.0,8.0,1991.0,1.0,3.0,780.0,2008.0,NA,cat,red,bad,good,0,1.0,235000.0
832,2.0,1518.0,1644.0,7.0,5.0,1989.0,1.0,2.0,0.0,1989.0,NA,NA,red,bad,good,0,0.0,275000.0
2039,2.0,1196.0,1196.0,4.0,7.0,1916.0,0.0,2.0,0.0,1990.0,NA,NA,blue,NA,bad,1,0.0,109900.0
890,1.0,1041.0,1125.0,6.0,6.0,1976.0,1.0,3.0,0.0,1976.0,NA,cow,red,okay,bad,1,0.0,125000.0
2212,2.0,0.0,1226.0,5.0,5.0,1951.0,1.0,2.0,0.0,1951.0,NA,NA,red,good,bad,1,1.0,153500.0
581,2.0,1489.0,1489.0,6.0,7.0,1968.0,1.0,3.0,0.0,1968.0,NA,NA,red,good,good,0,0.0,185750.0
1213,2.0,1248.0,1350.0,6.0,5.0,1964.0,0.0,3.0,0.0,1964.0,NA,cat,red,NA,bad,1,1.0,168500.0
2665,1.0,1200.0,1200.0,6.0,5.0,1923.0,0.0,4.0,0.0,1950.0,NA,NA,blue,NA,bad,1,0.0,125000.0
263,3.0,1978.0,1978.0,8.0,5.0,2003.0,1.0,3.0,0.0,2003.0,NA,NA,red,good,good,0,1.0,318000.0
1656,2.0,1625.0,1220.0,6.0,5.0,1971.0,1.0,2.0,0.0,1971.0,NA,NA,red,bad,bad,0,0.0,170000.0
573,2.0,970.0,1739.0,8.0,5.0,1999.0,0.0,3.0,756.0,2000.0,Pave,NA,red,NA,good,0,1.0,172500.0
264,2.0,1581.0,1601.0,8.0,5.0,2001.0,1.0,3.0,0.0,2002.0,NA,dog,red,bad,good,0,0.0,272000.0
2482,2.0,636.0,1320.0,6.0,5.0,1994.0,0.0,3.0,684.0,1994.0,NA,NA,red,NA,good,0,1.0,150000.0
2823,0.0,914.0,914.0,6.0,5.0,2002.0,0.0,2.0,0.0,2002.0,NA,NA,red,NA,good,1,0.0,117250.0
2066,2.0,816.0,1416.0,5.0,7.0,1918.0,0.0,3.0,0.0,2007.0,NA,NA,red,NA,good,0,0.0,112000.0
316,2.0,1214.0,1214.0,7.0,5.0,2009.0,0.0,2.0,0.0,2010.0,NA,NA,red,NA,good,0,0.0,179781.0
820,3.0,1622.0,1630.0,8.0,5.0,2008.0,1.0,3.0,0.0,2008.0,NA,NA,red,good,amazing,0,0.0,295493.0
107,2.0,1226.0,1226.0,8.0,6.0,1978.0,1.0,1.0,0.0,1978.0,NA,NA,red,bad,good,1,0.0,206000.0
2884,2.0,1594.0,1646.0,8.0,5.0,2004.0,1.0,2.0,0.0,2005.0,NA,NA,red,good,good,0,0.0,300000.0
2319,3.0,893.0,1801.0,8.0,5.0,2005.0,1.0,3.0,900.0,2005.0,NA,NA,red,good,good,0,1.0,239900.0
1555,1.0,649.0,1317.0,4.0,4.0,1920.0,0.0,3.0,668.0,1950.0,Pave,dog,red,NA,bad,1,0.0,40000.0
1105,3.0,2109.0,2113.0,8.0,6.0,1995.0,1.0,2.0,0.0,1995.0,NA,NA,red,bad,good,0,1.0,350000.0
2216,2.0,854.0,1991.0,6.0,7.0,1932.0,1.0,3.0,895.0,1950.0,NA,NA,red,good,bad,1,1.0,220000.0
1381,2.0,894.0,894.0,5.0,7.0,1967.0,0.0,3.0,0.0,2003.0,NA,NA,red,NA,good,1,0.0,130000.0
2544,1.0,1187.0,1565.0,6.0,7.0,1965.0,2.0,3.0,0.0,2000.0,NA,dog,red,bad,good,0,0.0,185900.0
2827,2.0,547.0,1072.0,6.0,5.0,2005.0,0.0,2.0,0.0,2006.0,NA,NA,red,NA,bad,1,0.0,142500.0
2400,3.0,1848.0,2728.0,9.0,5.0,2005.0,2.0,4.0,880.0,2006.0,NA,NA,red,good,amazing,0,1.0,437154.0
345,3.0,1008.0,2283.0,8.0,5.0,2003.0,1.0,4.0,1275.0,2003.0,NA,NA,red,good,good,0,1.0,270000.0
648,1.0,1031.0,1031.0,5.0,8.0,1952.0,0.0,2.0,0.0,2005.0,NA,dog,red,NA,good,1,0.0,145500.0
527,2.0,1836.0,1836.0,8.0,5.0,2008.0,1.0,3.0,0.0,2009.0,NA,NA,red,good,good,0,0.0,264500.0
1966,1.0,1377.0,1377.0,5.0,5.0,1960.0,2.0,3.0,0.0,1960.0,NA,dog,red,bad,bad,1,0.0,156500.0
1722,2.0,1577.0,1577.0,9.0,5.0,2005.0,1.0,2.0,0.0,2005.0,NA,NA,red,good,amazing,0,0.0,280000.0
