,feature01,feature02,feature04,feature05,feature06,feature07,feature08,feature09,feature10,feature10.1,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature21,feature22,feature23,target
1649,2.0,534.0,808.0,1161,8,1969,7,6,1977,2,red,1,good,bad,3,1,11,1,808,1977,190000
1789,2.0,672.0,1494.0,1506,7,1506,7,5,2005,2,red,1,good,good,3,1,4,0,0,2006,249000
1060,3.0,1003.0,1414.0,1414,9,2331,9,5,2005,2,red,1,good,amazing,3,1,8,1,917,2005,379000
31,1.0,264.0,525.0,525,6,1092,6,5,1971,1,red,0,NA,bad,3,1,3,1,567,1971,88000
2745,1.0,280.0,810.0,1002,7,1456,5,3,1948,1,blue,1,bad,bad,4,1,8,0,454,1950,91500
2024,2.0,576.0,750.0,960,7,1316,5,5,1926,1,red,0,NA,bad,4,1,10,0,356,1950,90000
2888,2.0,504.0,975.0,1004,4,1004,6,5,1977,1,red,0,NA,bad,2,1,5,0,0,1977,135000
1540,2.0,484.0,1898.0,1898,7,1898,5,5,1956,2,blue,2,bad,bad,3,1,4,1,0,1956,236500
1768,2.0,455.0,1117.0,1127,8,2013,7,5,1996,2,red,1,bad,bad,3,1,6,1,886,1997,269790
855,2.0,484.0,1040.0,1040,5,1040,5,7,1977,2,red,0,NA,good,3,1,9,0,0,2008,150500
2246,2.0,538.0,1573.0,1625,5,1625,8,5,2006,2,red,1,good,good,2,1,12,0,0,2007,235000
1227,1.0,312.0,1036.0,1036,5,1036,5,5,1953,1,red,0,NA,bad,3,1,6,0,0,1953,112900
1532,1.0,240.0,715.0,849,6,1660,6,7,1934,1,blue,1,good,bad,3,1,8,1,811,1995,188700
2274,3.0,712.0,1732.0,1776,7,1776,8,5,2006,2,red,1,good,good,3,1,5,0,0,2007,283463
1987,0.0,0.0,686.0,866,4,866,5,9,1945,1,red,0,NA,good,2,1,8,0,0,1997,110500
2338,2.0,572.0,1056.0,1056,5,1056,5,5,1955,1,red,0,NA,bad,3,1,1,0,0,1955,145000
313,2.0,776.0,1958.0,2048,9,2048,6,5,1976,3,red,0,NA,bad,5,2,3,0,0,1976,170000
2611,1.0,288.0,912.0,912,5,912,5,5,1964,1,red,0,NA,bad,2,1,11,0,0,1964,115000
1632,2.0,577.0,1190.0,1190,6,2090,7,5,1984,2,red,1,bad,good,3,1,9,0,900,1984,207500
494,3.0,856.0,1252.0,1268,8,2365,8,5,1999,2,red,1,good,good,3,1,7,1,1097,1999,337000
831,2.0,440.0,704.0,704,7,1422,6,5,2005,2,red,1,good,good,3,1,7,1,718,2006,173000
1228,2.0,492.0,864.0,902,8,1820,7,6,1965,1,red,2,good,good,4,1,5,2,918,1988,201800
1616,2.0,373.0,806.0,806,7,1572,6,5,1995,2,red,1,bad,bad,3,1,5,1,766,1996,168000
1885,2.0,396.0,894.0,1074,6,1074,5,5,1956,1,red,1,good,good,2,1,1,0,0,1956,124000
1564,3.0,857.0,1568.0,1689,7,1689,8,5,2002,2,red,2,good,good,3,1,7,0,0,2002,271000
2654,1.0,378.0,770.0,885,5,1182,6,7,1945,1,red,0,NA,bad,3,1,5,1,297,1950,120000
1886,1.0,294.0,0.0,882,5,882,5,7,1959,1,red,0,NA,bad,3,1,7,0,0,1959,106500
1181,2.0,516.0,1232.0,1232,6,1232,6,6,1984,2,red,0,NA,bad,3,1,6,0,0,1984,162500
905,1.0,250.0,832.0,832,7,1268,5,4,1938,1,red,2,good,bad,3,1,7,1,436,1950,160000
1742,3.0,648.0,1258.0,1402,7,1402,7,5,2006,0,red,1,good,good,2,1,2,2,0,2007,194201
2462,2.0,776.0,1489.0,1489,7,1489,8,5,2006,2,red,1,good,good,3,1,6,0,0,2006,232600
2294,2.0,672.0,1160.0,1676,6,1676,5,6,1977,1,red,2,bad,good,3,1,5,1,0,1994,196000
2708,2.0,528.0,1064.0,1064,6,1064,5,6,1967,1,red,1,bad,bad,3,1,6,0,0,1967,153600
1446,2.0,528.0,864.0,1174,5,1174,5,6,1978,1,red,0,NA,bad,3,1,5,0,0,1978,158000
525,3.0,1043.0,1082.0,1082,9,1953,8,5,2005,2,red,1,good,good,3,1,5,1,871,2006,252000
2755,2.0,675.0,1498.0,1498,5,1498,7,5,2006,2,red,0,NA,good,2,1,4,0,0,2006,204900
397,2.0,576.0,864.0,864,5,864,4,6,1970,1,red,0,NA,bad,3,1,9,0,0,1970,76500
77,1.0,264.0,918.0,918,5,918,6,5,1979,2,red,1,bad,bad,2,1,4,0,0,1979,99500
265,2.0,613.0,941.0,941,7,1829,7,6,2003,2,red,1,bad,good,3,1,1,1,888,2003,237000
1753,2.0,463.0,924.0,948,7,1690,6,5,2000,2,red,1,bad,bad,3,1,11,1,742,2000,181000
243,1.0,308.0,0.0,930,6,930,4,7,1946,1,red,0,NA,good,2,1,4,0,0,2006,84900
728,2.0,528.0,1324.0,1072,6,1576,5,6,1923,1,red,1,bad,good,3,1,5,1,504,2004,223500
1707,3.0,916.0,1706.0,1718,11,2956,8,5,2004,2,red,1,amazing,amazing,5,1,8,1,1238,2004,342000
1600,0.0,0.0,630.0,630,3,630,4,7,1972,1,red,0,NA,bad,1,1,6,0,0,1972,81000
1074,3.0,944.0,1800.0,1800,6,1800,9,5,2007,2,red,1,good,amazing,2,1,6,0,0,2008,370967
2518,2.0,484.0,1235.0,1235,4,1235,8,5,1980,1,red,3,bad,bad,1,1,5,0,0,1980,214000
809,2.0,720.0,0.0,1114,8,2228,5,5,1979,2,red,0,NA,bad,6,2,6,0,1114,1979,147983
2211,2.0,264.0,851.0,867,8,1718,7,7,1927,2,red,1,bad,good,4,1,10,1,851,1992,238000
2688,1.0,255.0,485.0,1001,5,1635,6,8,1910,1,red,0,NA,good,2,1,6,0,634,2003,117000
385,2.0,588.0,1058.0,1058,7,1874,8,5,2000,2,red,1,bad,good,3,1,3,1,816,2001,220000
2379,3.0,831.0,1738.0,1738,11,2589,9,5,2006,2,red,1,good,amazing,4,1,8,1,851,2006,412083
2148,2.0,610.0,979.0,992,7,1932,7,5,2003,2,red,1,good,good,3,1,6,1,940,2003,213000
1051,3.0,846.0,1682.0,1742,9,2332,10,5,2007,2,red,1,amazing,amazing,3,1,8,1,590,2008,426000
2605,2.0,566.0,796.0,1096,7,1466,5,8,1936,2,red,1,bad,good,3,1,4,0,370,1989,170000
106,2.0,484.0,728.0,788,3,788,8,5,1980,1,red,1,bad,good,1,1,6,0,0,1980,155000
85,1.0,336.0,894.0,894,5,894,5,8,1965,1,red,1,good,bad,3,1,4,0,0,2009,138500
1054,3.0,905.0,1582.0,1582,7,1582,8,5,2007,2,red,0,NA,good,3,1,1,0,0,2007,317500
478,2.0,527.0,408.0,779,7,1419,8,5,2002,2,red,1,bad,good,3,1,3,1,640,2002,184100
1211,2.0,504.0,1092.0,1092,6,1092,6,7,1964,1,red,0,NA,bad,3,1,7,0,0,1964,145000
1158,2.0,636.0,1848.0,1827,10,2786,9,5,1993,2,red,1,amazing,good,4,1,6,1,959,1994,372500
2501,3.0,796.0,1338.0,1352,10,2520,8,7,1993,2,red,1,bad,good,5,1,11,1,1168,1993,310000
1866,2.0,528.0,1295.0,1295,6,1295,6,5,1968,1,red,0,NA,bad,3,1,4,1,0,1968,164000
2773,2.0,541.0,1525.0,1525,6,1525,7,5,2000,2,red,0,NA,good,3,1,9,0,0,2000,235000
1382,2.0,504.0,450.0,1034,6,1034,6,8,1978,1,red,1,horrible,bad,3,1,5,0,0,1978,153000
2237,1.0,100.0,816.0,816,5,816,5,7,1922,1,red,0,NA,bad,2,1,9,0,0,1950,75200
637,1.0,350.0,1382.0,1382,6,1382,5,5,1955,1,blue,0,NA,good,3,1,7,0,0,1955,153000
1282,1.0,264.0,1117.0,1117,6,1117,5,5,1963,1,red,0,NA,bad,3,1,5,0,0,1963,136870
633,1.0,297.0,988.0,988,6,988,6,8,1959,2,red,0,NA,good,3,1,6,0,0,1998,149500
2135,2.0,370.0,1015.0,1025,6,1025,5,5,1976,2,red,1,okay,bad,3,1,7,0,0,1976,153500
1480,2.0,410.0,728.0,728,7,1456,7,5,2005,2,red,1,good,good,3,1,10,1,728,2005,189000
349,2.0,564.0,2208.0,2522,8,2522,8,5,2004,2,red,1,good,good,1,1,11,0,0,2005,375000
2234,0.0,0.0,936.0,936,6,1601,5,7,1925,2,red,0,NA,bad,3,1,9,0,665,2003,129850
2724,2.0,576.0,1188.0,1437,6,1437,5,6,1956,1,red,1,bad,bad,3,1,11,1,0,1987,168000
314,2.0,572.0,747.0,1687,7,1687,5,5,1948,1,red,2,bad,bad,3,1,6,0,0,1950,160000
742,0.0,0.0,264.0,800,4,800,2,3,1936,1,blue,1,horrible,okay,1,1,1,0,0,1950,60000
187,2.0,923.0,912.0,1236,6,1236,6,7,1957,1,blue,0,NA,bad,2,1,4,0,0,1996,149700
2131,2.0,486.0,985.0,985,7,1842,7,5,2000,2,red,1,bad,good,3,1,7,1,857,2000,217500
1640,2.0,567.0,1419.0,1419,7,1419,8,6,2007,2,red,1,good,good,2,1,10,0,0,2007,392000
2899,3.0,765.0,1800.0,1800,7,1800,8,5,2002,2,red,1,good,good,3,1,5,0,0,2002,312500
419,2.0,656.0,864.0,1120,5,1120,5,7,1966,1,red,1,bad,bad,3,1,7,0,0,2004,148800
520,3.0,984.0,1530.0,1530,7,1530,9,5,2007,2,red,1,good,good,3,1,5,0,0,2008,250000
931,2.0,576.0,1310.0,1906,6,1906,6,5,1954,1,red,2,good,bad,3,1,1,1,0,1954,224000
348,2.0,400.0,384.0,804,7,1474,7,5,1995,2,red,1,bad,bad,3,1,5,1,670,1996,168500
297,2.0,473.0,423.0,896,6,1652,7,6,1994,2,red,0,NA,good,3,1,6,1,756,2007,203135
1112,3.0,824.0,1574.0,1574,7,1574,8,5,2006,2,red,1,good,good,3,1,7,0,0,2006,232000
917,1.0,215.0,600.0,628,6,1228,7,8,1918,1,red,1,good,bad,3,1,5,0,600,1990,137000
1759,2.0,460.0,941.0,961,7,1644,6,5,1999,2,red,1,bad,bad,3,1,5,1,683,2000,185000
2242,0.0,0.0,957.0,1034,9,1991,5,6,1895,2,red,0,NA,bad,4,2,6,0,957,2006,119600
2360,1.0,280.0,864.0,864,5,864,4,5,1970,1,red,0,NA,bad,3,1,7,0,0,1970,116050
1982,1.0,308.0,649.0,679,6,1183,3,7,1948,1,red,0,NA,bad,2,1,6,1,504,2002,120000
2168,1.0,384.0,936.0,936,4,936,5,5,1967,1,red,1,okay,bad,2,1,8,0,0,1967,118500
1184,2.0,469.0,952.0,952,7,1812,7,5,2002,2,red,1,bad,bad,3,1,4,1,860,2002,205000
2140,2.0,461.0,882.0,882,5,882,5,5,1972,1,red,0,NA,bad,3,1,3,0,0,1972,112500
1350,1.0,240.0,672.0,1072,6,1285,5,5,1948,1,red,0,NA,bad,2,1,1,0,213,2001,127000
2327,2.0,504.0,1064.0,1064,5,1767,7,7,1987,2,red,1,bad,good,2,1,6,0,703,1987,239000
263,3.0,850.0,1978.0,1978,8,1978,8,5,2003,2,red,1,good,good,3,1,5,1,0,2003,318000
845,2.0,492.0,928.0,928,7,1772,6,5,1998,2,red,1,bad,bad,3,1,4,1,844,1998,200000
1481,2.0,420.0,848.0,848,3,848,6,5,2004,1,red,1,bad,good,1,1,5,0,0,2004,149300
2812,2.0,502.0,1336.0,1336,6,1336,7,5,2005,2,red,0,NA,good,3,1,9,0,0,2006,198000
1797,3.0,1025.0,1088.0,1088,8,1959,8,5,2006,2,red,1,good,good,3,1,12,1,871,2006,270000
1896,2.0,572.0,1144.0,1429,7,1429,6,6,1960,1,red,2,good,good,3,1,6,0,0,1987,181900
1875,1.0,318.0,1214.0,1214,5,1214,5,5,1967,2,red,1,okay,bad,3,1,7,0,0,1967,143000
1536,2.0,786.0,608.0,983,9,1873,8,6,1935,1,red,2,good,bad,4,1,6,1,890,1950,257076
2698,1.0,288.0,806.0,1081,7,1422,5,5,1951,1,red,1,bad,bad,3,1,6,0,341,1951,137500
2830,2.0,380.0,970.0,970,7,1709,6,5,2004,2,red,0,NA,good,3,1,4,0,739,2006,130000
2351,2.0,434.0,713.0,811,6,1552,6,6,1975,2,red,1,bad,bad,3,1,2,1,741,1975,179900
2891,2.0,628.0,1210.0,1238,9,2519,7,5,1989,2,red,2,good,good,4,1,4,1,1281,1990,335000
2422,2.0,398.0,1368.0,1511,5,1511,7,5,2002,2,red,1,bad,good,2,1,5,0,0,2002,246990
1270,1.0,311.0,1256.0,1256,6,1256,5,6,1959,1,blue,0,NA,good,3,1,5,1,0,1959,159000
2380,3.0,840.0,1249.0,1249,9,2596,9,5,2006,3,red,0,NA,good,4,1,9,1,1347,2006,342643
1321,2.0,400.0,723.0,723,5,1086,2,1,1920,1,red,0,NA,bad,2,1,11,0,363,1950,55000
2355,2.0,495.0,1056.0,1074,6,1074,5,6,1975,1,red,0,NA,bad,3,1,7,1,0,1975,153500
1772,2.0,546.0,3200.0,3228,10,3228,8,5,1992,3,red,1,good,good,4,1,5,0,0,1993,430000
364,2.0,500.0,1424.0,1442,5,1442,7,5,1990,2,red,0,NA,bad,3,1,5,0,0,1990,180500
2603,3.0,936.0,672.0,694,6,1214,3,4,1915,1,red,0,NA,bad,3,1,1,0,520,1950,105000
624,2.0,514.0,1394.0,1394,6,1394,6,5,1963,1,red,2,good,bad,3,1,7,1,0,1963,159000
2095,2.0,499.0,779.0,1029,7,1958,7,5,1994,2,red,1,bad,good,3,1,7,1,929,2001,220000
1001,2.0,462.0,1337.0,1337,5,1337,8,5,1993,2,red,1,bad,good,2,1,10,0,0,1993,180000
34,1.0,308.0,836.0,836,4,836,7,6,1975,1,red,0,NA,bad,2,1,6,0,0,1975,120000
694,2.0,324.0,972.0,972,12,1944,6,5,1910,2,blue,0,NA,bad,4,2,6,0,972,1950,103500
2623,1.0,286.0,1040.0,1040,6,1040,5,5,1959,1,blue,0,NA,bad,3,1,7,0,0,1959,133700
1447,2.0,576.0,940.0,1026,5,1026,6,6,1978,1,red,0,NA,bad,3,1,10,0,0,1978,147000
380,2.0,478.0,1271.0,1601,7,1601,7,5,1978,2,red,1,bad,bad,3,1,4,0,0,1978,157000
101,2.0,440.0,756.0,756,5,1512,6,5,2000,2,red,0,NA,good,2,1,5,1,756,2000,177000
1441,2.0,564.0,963.0,963,7,1792,7,5,2001,2,red,1,bad,good,3,1,5,1,829,2001,231500
2666,3.0,840.0,1107.0,1518,12,3608,10,9,1892,2,red,2,bad,amazing,4,1,6,1,1518,1993,475000
2176,2.0,579.0,0.0,1100,11,2233,5,6,1979,2,red,0,NA,bad,5,2,2,1,1133,1979,141000
961,3.0,610.0,1466.0,1466,7,1466,8,5,2007,2,red,0,NA,good,3,1,7,0,0,2007,201000
2280,2.0,648.0,1064.0,1040,5,1040,4,5,1963,1,red,0,NA,bad,3,1,1,0,0,1963,132250
1813,2.0,514.0,1482.0,1494,5,1494,7,5,1998,2,red,1,okay,good,3,1,8,0,0,1998,215000
1990,1.0,374.0,728.0,914,9,1642,6,6,1927,1,red,1,good,bad,4,1,3,1,728,1950,145000
510,3.0,844.0,1702.0,1702,7,1702,8,5,2007,2,red,1,good,good,3,1,3,0,0,2007,275500
1305,0.0,0.0,448.0,1588,6,1588,3,1,1949,2,red,0,NA,bad,5,1,12,0,0,1992,65000
1221,1.0,205.0,991.0,1077,5,1077,5,6,1939,1,red,2,bad,bad,2,2,1,0,0,1950,118000
61,2.0,527.0,1720.0,1720,7,1720,7,5,1996,2,red,1,bad,good,3,1,3,0,0,1996,260400
1191,2.0,624.0,1522.0,1548,9,2614,6,7,1974,2,red,1,bad,bad,4,1,6,1,1066,1997,240000
2639,2.0,400.0,780.0,940,7,1416,6,8,1900,1,red,0,NA,good,3,1,6,0,476,2004,156500
2805,2.0,545.0,1390.0,1390,7,1390,7,5,2003,2,red,0,NA,good,3,1,3,0,0,2003,207000
2610,1.0,264.0,1135.0,1207,6,1207,6,5,1962,1,red,0,NA,bad,3,1,5,1,0,1985,147000
2347,2.0,604.0,1845.0,1872,6,1872,7,5,1988,2,red,1,bad,bad,3,1,6,0,0,1988,241500
1903,0.0,0.0,370.0,442,4,670,3,5,1945,1,blue,0,NA,okay,2,1,7,0,228,1950,64000
1132,2.0,542.0,835.0,835,7,1696,6,5,2003,2,red,0,NA,good,3,1,7,1,861,2003,188000
2825,2.0,525.0,547.0,1072,5,1072,5,5,2005,1,red,0,NA,bad,2,1,5,0,0,2005,145000
523,3.0,812.0,1017.0,1026,10,2007,10,5,2008,2,red,1,amazing,amazing,3,1,4,1,981,2008,310000
1784,3.0,786.0,1726.0,1726,8,1726,7,5,2007,2,red,1,good,amazing,3,1,9,0,0,2007,311872
1798,2.0,550.0,1184.0,1184,11,2610,8,5,2007,2,red,1,good,amazing,4,1,8,1,1426,2007,303477
2296,0.0,0.0,796.0,796,5,796,5,7,1971,1,red,0,NA,bad,2,1,9,0,0,1971,138000
1841,2.0,528.0,625.0,625,5,1250,7,5,2006,2,red,0,NA,good,2,1,6,1,625,2007,164700
2712,1.0,336.0,1051.0,1159,7,1159,5,5,1968,1,red,1,okay,bad,3,1,7,1,0,1968,158000
72,2.0,618.0,956.0,956,8,2084,7,5,2004,2,red,0,NA,good,4,1,1,1,1128,2004,233000
2767,2.0,522.0,1388.0,1388,6,1388,6,5,1968,2,red,1,horrible,bad,3,1,7,0,0,1968,158900
36,3.0,751.0,1590.0,1627,10,2334,9,5,2009,2,red,1,good,amazing,3,1,1,1,707,2010,376162
2443,3.0,885.0,1044.0,1079,7,1976,8,5,1998,2,red,1,amazing,good,3,1,2,1,897,1998,286000
2097,3.0,1052.0,1466.0,1466,11,2828,8,5,2006,3,red,1,bad,good,4,1,4,0,1362,2007,424870
1502,0.0,0.0,1440.0,1440,8,1440,4,4,1955,2,green,0,NA,okay,4,2,9,0,0,1955,118000
2253,1.0,360.0,852.0,918,4,918,7,6,1975,1,red,0,NA,bad,3,0,3,0,0,1975,148000
142,1.0,294.0,1314.0,1314,5,1314,5,6,1957,1,red,0,NA,bad,3,1,6,0,0,1957,145000
1680,2.0,440.0,1078.0,958,5,958,6,5,1976,2,red,1,bad,bad,2,1,2,0,0,1976,128000
2569,1.0,286.0,936.0,1128,5,1128,5,5,1954,1,red,0,NA,bad,2,1,6,0,0,1954,118000
2902,3.0,682.0,1838.0,1838,9,1838,9,5,2005,2,red,1,good,amazing,3,1,9,0,0,2006,359900
2485,2.0,624.0,988.0,988,6,988,5,4,1962,1,red,0,NA,bad,3,1,7,0,0,1962,129500
2134,2.0,440.0,864.0,894,5,894,5,5,1974,1,red,0,NA,bad,3,1,8,0,0,1974,131000
2456,3.0,1134.0,2077.0,2097,8,2097,8,5,2005,1,red,1,amazing,amazing,1,1,1,1,0,2006,423000
1208,2.0,576.0,1425.0,1425,7,1425,6,5,1964,2,red,1,good,bad,3,1,7,0,0,1964,180500
1617,2.0,388.0,794.0,794,6,1470,6,6,1997,2,red,0,NA,bad,3,1,7,0,676,1997,177000
2527,2.0,619.0,1054.0,1512,9,2654,6,7,1968,2,red,1,good,good,4,1,8,1,1142,1984,250000
1186,2.0,516.0,1427.0,1427,7,1427,6,6,1969,2,red,0,NA,bad,4,1,5,0,0,1969,183000
152,1.0,246.0,1057.0,1057,5,1057,5,7,1953,1,red,0,NA,good,3,1,1,0,0,2007,109000
2629,1.0,288.0,1150.0,1150,6,1150,5,4,1961,1,red,0,NA,bad,3,1,7,0,0,1961,146000
1369,0.0,0.0,536.0,808,8,1344,3,3,1915,2,green,0,NA,bad,3,2,5,0,536,1950,82375
1089,2.0,400.0,840.0,840,7,1720,7,5,2002,2,red,1,good,good,3,1,7,1,880,2003,188000
42,3.0,678.0,1822.0,1822,8,1822,8,5,2005,2,red,1,good,amazing,3,1,2,0,0,2006,259000
2550,1.0,286.0,1248.0,1248,6,1248,5,7,1960,1,red,0,NA,bad,3,1,5,0,0,1960,151500
5,2.0,470.0,926.0,926,7,1604,6,6,1998,2,red,1,good,good,3,1,6,1,678,1998,195500
55,2.0,440.0,860.0,860,8,1960,6,5,2002,2,red,2,bad,good,4,1,5,1,1100,2002,216500
1459,2.0,905.0,1055.0,1055,7,2263,8,5,2001,2,red,1,bad,good,3,1,9,1,1208,2002,287000
1002,2.0,506.0,1280.0,1280,5,1280,8,5,1992,2,red,0,NA,good,2,1,8,0,0,1992,180000
1083,2.0,388.0,1266.0,1266,6,1266,7,5,2007,2,red,1,good,good,2,1,3,0,0,2007,159895
515,2.0,676.0,768.0,786,6,1590,8,5,2008,2,red,0,NA,good,3,1,6,1,804,2008,210000
2791,2.0,530.0,840.0,840,7,1755,6,5,1999,2,red,1,bad,bad,3,1,8,1,915,1999,214000
1809,2.0,566.0,1461.0,1486,7,1486,7,5,2006,2,red,0,NA,good,3,1,6,0,0,2006,181000
2204,1.0,225.0,686.0,686,6,1461,6,8,1926,1,red,1,good,bad,3,1,7,0,775,1991,135000
258,2.0,523.0,804.0,804,7,1682,6,5,1998,2,red,0,NA,good,3,1,6,1,878,1998,200500
1297,1.0,200.0,481.0,899,5,899,5,6,1910,1,blue,0,NA,bad,2,1,9,0,0,1950,78000
2865,3.0,579.0,637.0,959,8,1609,7,7,1932,1,red,2,good,good,3,1,5,1,650,1990,199500
2864,2.0,360.0,952.0,1170,9,2345,6,8,1932,2,red,1,good,bad,4,1,7,1,1175,1950,239000
906,1.0,281.0,793.0,848,6,1520,5,5,1932,1,red,0,NA,bad,3,1,7,0,672,2000,159434
1621,2.0,398.0,392.0,924,7,1694,6,5,1994,2,red,1,bad,bad,3,1,3,1,770,1994,160000
929,1.0,295.0,1067.0,986,7,1523,5,7,1949,2,red,1,bad,okay,3,1,10,0,537,2005,158000
2720,2.0,484.0,1134.0,1803,8,1803,5,4,1957,2,red,1,bad,bad,3,1,1,0,0,2000,155000
477,2.0,436.0,868.0,868,7,1630,7,5,2004,2,red,1,good,good,3,1,9,1,762,2005,189500
1516,1.0,400.0,672.0,810,7,1482,6,8,1925,2,red,0,NA,okay,4,1,3,0,672,1950,140000
1000,2.0,528.0,1664.0,1682,6,1682,8,5,1997,1,red,1,bad,good,1,1,7,1,0,1997,247900
339,2.0,482.0,1679.0,1803,6,1803,8,5,1994,2,red,2,bad,good,3,1,2,1,0,1995,285000
555,2.0,484.0,980.0,980,6,980,5,6,1977,1,red,0,NA,bad,3,1,7,0,0,1977,135000
1303,1.0,288.0,928.0,928,5,928,5,6,1957,1,blue,0,NA,bad,3,1,6,0,0,1957,112500
2243,2.0,720.0,1073.0,1073,6,1073,4,6,1957,1,blue,0,NA,bad,3,1,8,0,0,1980,140000
66,3.0,880.0,1595.0,1595,6,1595,8,5,2005,2,red,1,good,good,2,1,5,0,0,2006,221500
1473,2.0,548.0,856.0,856,8,1710,7,5,2003,2,red,0,NA,good,3,1,2,1,854,2003,208500
725,3.0,640.0,741.0,780,8,1521,6,7,1910,1,red,0,NA,good,4,1,9,0,741,2002,146500
1602,1.0,264.0,816.0,816,4,816,5,7,1983,1,red,0,NA,bad,2,1,4,0,0,1983,128500
2562,1.0,240.0,806.0,958,5,1578,6,7,1941,1,blue,2,bad,okay,3,1,8,0,620,1950,133000
140,1.0,308.0,1143.0,1143,6,1143,5,5,1959,1,red,0,NA,bad,3,1,5,0,0,1959,136000
1113,3.0,642.0,1578.0,1578,7,1578,7,5,2006,2,red,1,good,good,3,1,5,0,0,2006,240000
1044,1.0,264.0,483.0,483,5,987,6,3,1971,1,red,0,NA,bad,2,1,8,1,504,1971,89500
1098,2.0,516.0,1173.0,1182,9,2199,8,5,1997,2,red,1,bad,good,3,1,9,1,1017,1997,284500
1694,3.0,947.0,1063.0,1071,9,2172,7,5,2006,2,red,1,good,good,3,1,8,1,1101,2006,280000
2505,2.0,550.0,1247.0,1247,4,1247,8,5,2005,1,red,1,good,good,1,1,4,1,0,2005,197000
587,2.0,502.0,1288.0,1336,6,1336,5,5,1969,2,red,1,okay,bad,3,1,8,0,0,1969,163000
2866,2.0,365.0,697.0,1104,8,1801,6,7,1930,1,red,1,good,bad,3,1,11,1,697,1959,210000
2826,2.0,525.0,547.0,1072,5,1072,6,5,2005,2,red,0,NA,bad,2,1,6,0,0,2006,140000
2101,2.0,440.0,1316.0,1316,6,1316,7,5,2007,2,red,1,good,good,3,1,10,0,0,2007,200141
1934,1.0,240.0,1008.0,1008,6,1008,5,7,1953,1,red,0,NA,good,2,1,5,0,0,2006,134500
1135,2.0,576.0,1114.0,1114,6,1114,5,5,2004,1,red,0,NA,good,3,1,6,1,0,2004,159000
102,2.0,484.0,696.0,696,6,1416,7,5,1999,2,red,0,NA,good,3,1,5,1,720,1999,155000
1386,2.0,400.0,1300.0,1140,6,1140,5,4,1920,1,red,0,NA,bad,3,1,1,0,0,1950,95541
2754,3.0,865.0,1614.0,1614,7,1614,7,5,2005,2,red,0,NA,good,3,1,7,0,0,2006,221500
2725,2.0,521.0,1865.0,1830,6,1830,7,6,1967,1,red,2,good,bad,2,1,6,0,0,1967,278000
281,2.0,440.0,1121.0,1121,5,1121,4,5,2003,2,red,0,NA,bad,2,1,3,0,0,2004,140000
2319,3.0,800.0,893.0,901,8,1801,8,5,2005,2,red,1,good,good,3,1,6,1,900,2005,239900
185,2.0,624.0,346.0,1157,7,2268,8,9,1890,3,red,0,NA,good,3,1,4,0,1111,2002,240000
2064,1.0,323.0,1240.0,1375,6,1375,5,5,1956,1,red,1,good,bad,3,1,12,0,0,1998,187000
1712,3.0,878.0,1614.0,1614,7,1614,7,5,2005,2,red,0,NA,good,3,1,5,0,0,2006,245700
1209,2.0,490.0,1127.0,1165,6,1165,6,7,1966,1,red,0,NA,bad,3,1,5,1,0,1966,174900
2715,2.0,440.0,1461.0,1721,7,1721,5,6,1968,2,red,1,bad,bad,3,1,7,1,0,1993,180000
2790,2.0,591.0,826.0,878,6,1762,7,5,2002,2,red,0,NA,good,3,1,7,1,884,2002,222000
731,1.0,336.0,297.0,1001,7,1654,5,7,1930,2,red,1,good,bad,3,1,5,0,653,1982,137000
2738,2.0,528.0,1776.0,1560,6,1560,5,5,1962,2,red,1,okay,bad,3,1,5,0,0,1962,182000
19,2.0,500.0,1542.0,2073,7,2073,6,6,1978,2,red,2,bad,bad,3,1,2,0,0,1988,210000
1166,2.0,440.0,744.0,757,6,1549,6,5,1999,2,red,0,NA,bad,3,1,4,1,792,1999,172900
472,2.0,397.0,1220.0,1220,5,1220,7,5,2005,2,red,1,good,good,2,1,8,0,0,2006,180000
2836,0.0,0.0,658.0,658,8,1184,5,3,1910,1,red,0,NA,bad,5,1,5,0,526,1996,81000
54,2.0,400.0,384.0,744,7,1374,7,5,2004,2,red,1,good,good,3,1,6,1,630,2004,184500
1229,2.0,504.0,1362.0,1362,6,1362,6,5,1961,1,red,1,bad,bad,3,1,6,1,0,1961,163000
1882,2.0,461.0,1065.0,1065,6,1065,5,5,1960,1,red,0,NA,bad,3,1,7,1,0,1960,126500
2046,1.0,240.0,756.0,756,7,1134,5,6,1940,1,green,0,NA,bad,3,1,4,1,378,1950,126000
2106,3.0,826.0,1240.0,1240,5,1240,7,5,2006,2,red,0,NA,good,2,1,5,0,0,2006,194000
2342,2.0,440.0,1208.0,1621,8,1621,7,7,1984,2,red,0,NA,good,3,1,5,0,0,1998,202500
1845,2.0,440.0,756.0,769,4,1573,6,5,2000,2,red,0,NA,good,3,1,9,1,804,2000,177000
2774,2.0,576.0,1479.0,1494,6,1494,6,5,1997,2,red,0,NA,good,3,1,7,0,0,1997,217000
1153,1.0,276.0,864.0,864,5,864,5,5,1963,1,red,0,NA,bad,3,1,1,0,0,1963,119916
1968,1.0,300.0,0.0,925,7,925,5,6,1961,1,red,0,NA,bad,3,1,7,0,0,1961,99000
